TahunKelulusan,JK,Prodi,Jenis,Jurusan,Ayah,Ibu,Hasil,UN,IPK
2016,Laki-laki,Biologi,MAN,IPS,DASAR,MENENGAH,1.000-2.000,Baik,Cumlaude
2015,Laki-laki,Biologi,MAN,IPS,MENENGAH,DASAR,500-1.000,Baik,Cumlaude
2016,Laki-laki,Biologi,MAN,IPS,MENENGAH,MENENGAH,2.000-5.000,Baik,Cumlaude
2016,Perempuan,Biologi,SMAN,IPA,TINGGI,TINGGI,2.000-5.000,Baik,Sangat Memuaskan
2016,Laki-laki,Biologi,MAN,IPS,TINGGI,MENENGAH,2.000-5.000,Sangat Baik,Cumlaude
2016,Laki-laki,Biologi,MAN,IPS,TINGGI,MENENGAH,2.000-5.000,Baik,Cumlaude
2016,Laki-laki,Biologi,MAN,IPS,DASAR,DASAR,1.000-2.000,Baik,Cumlaude
2016,Laki-laki,Biologi,MAN,IPS,MENENGAH,TINGGI,2.000-5.000,Sangat Baik,Cumlaude
2016,Perempuan,Biologi,SMKN,TEKNIK,TINGGI,TINGGI,2.000-5.000,Baik,Sangat Memuaskan
2016,Laki-laki,Biologi,SMKS,EKONOMI,MENENGAH,DASAR,500-1.000,Baik,Cumlaude
2016,Laki-laki,Biologi,MAN,IPS,MENENGAH,DASAR,5.000-20.000,Sangat Baik,Cumlaude
2016,Laki-laki,Biologi,SMAS,IPS,MENENGAH,TINGGI,1.000-2.000,Baik,Cumlaude
2016,Perempuan,Biologi,SMAN,IPA,MENENGAH,MENENGAH,1.000-2.000,Sangat Baik,Sangat Memuaskan
2016,Laki-laki,Biologi,SMKS,EKONOMI,MENENGAH,DASAR,5.000-20.000,Baik,Cumlaude
2016,Laki-laki,Biologi,MAS,IPS,DASAR,DASAR,500-1.000,Baik,Cumlaude
2016,Perempuan,Fisika,SMAN,IPA,MENENGAH,MENENGAH,500-1.000,Baik,Sangat Memuaskan
2016,Laki-laki,Kimia,SMAN,IPA,TINGGI,TINGGI,2.000-5.000,Baik,Sangat Memuaskan
2016,Perempuan,Kimia,SMAN,IPA,DASAR,DASAR,2.000-5.000,Baik,Sangat Memuaskan
2016,Perempuan,Kimia,SMAN,IPA,MENENGAH,MENENGAH,100-500,Baik,Sangat Memuaskan
2016,Perempuan,Kimia,SMAN,IPA,TINGGI,TINGGI,5.000-20.000,Baik,Memuaskan
2016,Perempuan,Kimia,SMAN,IPA,DASAR,DASAR,500-1.000,Baik,Sangat Memuaskan
2016,Laki-laki,Kimia,SMAN,IPA,DASAR,DASAR,100-500,Baik,Sangat Memuaskan
2016,Laki-laki,Kimia,SMKS,TEKNIK,DASAR,DASAR,100-500,Cukup,Sangat Memuaskan
2016,Perempuan,Kimia,SMAN,IPA,TINGGI,TINGGI,5.000-20.000,Baik,Sangat Memuaskan
2016,Laki-laki,Kimia,SMAN,IPA,TINGGI,TINGGI,2.000-5.000,Baik,Sangat Memuaskan
2016,Perempuan,Kimia,SMKN,TEKNIK,TINGGI,TINGGI,1.000-2.000,Baik,Sangat Memuaskan
2016,Perempuan,Kimia,MAS,IPA,DASAR,DASAR,1.000-2.000,Baik,Sangat Memuaskan
2016,Perempuan,Kimia,MAS,IPA,TINGGI,MENENGAH,5.000-20.000,Baik,Sangat Memuaskan
2016,Perempuan,Kimia,SMAN,IPA,DASAR,DASAR,500-1.000,Baik,Sangat Memuaskan
2016,Perempuan,Kimia,MAS,IPA,DASAR,DASAR,100-500,Cukup,Sangat Memuaskan
2016,Perempuan,Kimia,SMAN,IPA,DASAR,DASAR,1.000-2.000,Baik,Sangat Memuaskan
2016,Laki-laki,Kimia,SMAN,IPA,DASAR,DASAR,100-500,Sangat Baik,Sangat Memuaskan
2016,Perempuan,Kimia,SMAN,IPA,DASAR,DASAR,500-1.000,Baik,Sangat Memuaskan
2016,Laki-laki,Kimia,MAS,IPA,DASAR,DASAR,500-1.000,Sangat Baik,Sangat Memuaskan
2016,Perempuan,Kimia,MAN,IPA,TINGGI,TINGGI,1.000-2.000,Kurang,Memuaskan
2016,Perempuan,Matematika,SMAN,IPA,MENENGAH,MENENGAH,500-1.000,Baik,Sangat Memuaskan
2016,Laki-laki,Peternakan,SMAN,IPA,TINGGI,TINGGI,1.000-2.000,Baik,Sangat Memuaskan
2016,Laki-laki,PWK,SMAS,IPA,TINGGI,MENENGAH,1.000-2.000,Kurang,Sangat Memuaskan
2016,Perempuan,PWK,SMAN,IPA,MENENGAH,TINGGI,2.000-5.000,Baik,Sangat Memuaskan
2016,Laki-laki,PWK,SMKN,TEKNIK,DASAR,DASAR,500-1.000,Sangat Baik,Sangat Memuaskan
2016,Laki-laki,PWK,SMAN,IPA,TINGGI,TINGGI,5.000-20.000,Sangat Baik,Sangat Memuaskan
2016,Laki-laki,PWK,SMAN,IPA,MENENGAH,MENENGAH,1.000-2.000,Sangat Baik,Sangat Memuaskan
2016,Laki-laki,PWK,SMAN,IPA,MENENGAH,MENENGAH,5.000-20.000,Sangat Baik,Sangat Memuaskan
2016,Perempuan,PWK,SMKS,TEKNIK,DASAR,DASAR,100-500,Baik,Sangat Memuaskan
2016,Perempuan,PWK,SMAN,IPA,MENENGAH,MENENGAH,2.000-5.000,Kurang,Sangat Memuaskan
2016,Laki-laki,PWK,SMAN,IPA,TINGGI,TINGGI,2.000-5.000,Sangat Baik,Sangat Memuaskan
2016,Perempuan,PWK,SMAN,IPA,TINGGI,MENENGAH,1.000-2.000,Kurang,Sangat Memuaskan
2016,Perempuan,PWK,SMAN,IPA,MENENGAH,TINGGI,2.000-5.000,Baik,Sangat Memuaskan
2016,Perempuan,PWK,SMAN,IPA,TINGGI,MENENGAH,2.000-5.000,Baik,Sangat Memuaskan
2016,Laki-laki,PWK,SMAN,IPA,TINGGI,TINGGI,500-1.000,Kurang,Sangat Memuaskan
2016,Laki-laki,SI,SMAN,IPA,TINGGI,TINGGI,2.000-5.000,Baik,Sangat Memuaskan
2016,Perempuan,SI,SMKN,TEKNIK,TINGGI,MENENGAH,2.000-5.000,Kurang,Sangat Memuaskan
2016,Perempuan,SI,SMKN,TEKNIK,TINGGI,MENENGAH,1.000-2.000,Kurang,Sangat Memuaskan
2016,Laki-laki,SI,SMKN,TEKNIK,DASAR,DASAR,500-1.000,Kurang,Sangat Memuaskan
2016,Laki-laki,SI,MAS,IPS,DASAR,DASAR,100-500,Baik,Sangat Memuaskan
2016,Laki-laki,TI,SMKN,TEKNIK,TINGGI,TINGGI,100-500,Cukup,Sangat Memuaskan
2016,Laki-laki,TI,SMKN,TEKNIK,MENENGAH,MENENGAH,1.000-2.000,Kurang,Memuaskan
2016,Laki-laki,TI,SMAN,IPA,DASAR,DASAR,500-1.000,Kurang,Sangat Memuaskan
2016,Perempuan,TI,SMAN,IPA,TINGGI,TINGGI,1.000-2.000,Baik,Sangat Memuaskan
