TahunKelulusan,JK,Prodi,Jenis,Jurusan,Ayah,Ibu,Hasil,UN,IPK
2016,Perempuan,PWK,SMAN,IPA,Menengah,Tinggi,2.000-5.000,Baik,Sangat Memuaskan
2016,Perempuan,PWK,SMAS,IPA,Menengah,Tinggi,5.000-20.000,Sangat Baik,Sangat Memuaskan
2016,Laki-laki,PWK,SMKN,Teknik,Dasar,Dasar,500-1.000,Sangat Baik,Sangat Memuaskan
2016,Laki-laki,PWK,SMAN,IPA,Tinggi,Tinggi,5.000-20.000,Sangat Baik,Sangat Memuaskan
2016,Laki-laki,PWK,SMAN,IPA,Menengah,Menengah,1.000-2.000,Sangat Baik,Sangat Memuaskan
2016,Laki-laki,PWK,SMAN,IPA,Menengah,Menengah,5.000-20.000,Sangat Baik,Sangat Memuaskan
2016,Perempuan,PWK,SMKS,Teknik,Dasar,Dasar,100-500,Baik,Sangat Memuaskan
2016,Perempuan,PWK,SMAN,IPA,Menengah,Menengah,2.000-5.000,Kurang,Sangat Memuaskan
2016,Laki-laki,PWK,SMAN,IPA,Tinggi,Tinggi,2.000-5.000,Sangat Baik,Sangat Memuaskan
2016,Perempuan,PWK,SMAN,IPA,Tinggi,Menengah,1.000-2.000,Kurang,Sangat Memuaskan
2016,Perempuan,PWK,SMAN,IPA,Menengah,Tinggi,2.000-5.000,Baik,Sangat Memuaskan
2016,Perempuan,PWK,SMAN,IPA,Tinggi,Menengah,2.000-5.000,Baik,Sangat Memuaskan
2016,Laki-laki,PWK,SMAN,IPA,Tinggi,Tinggi,500-1.000,Kurang,Sangat Memuaskan
2016,Laki-laki,SI,SMAN,IPA,Tinggi,Tinggi,2.000-5.000,Baik,Sangat Memuaskan
2016,Perempuan,SI,SMKN,Teknik,Tinggi,Menengah,2.000-5.000,Kurang,Sangat Memuaskan
2016,Perempuan,SI,SMKN,Teknik,Tinggi,Menengah,1.000-2.000,Kurang,Sangat Memuaskan
2016,Laki-laki,SI,SMKN,Teknik,Dasar,Dasar,500-1.000,Kurang,Sangat Memuaskan
2016,Laki-laki,SI,MAS,IPS,Dasar,Dasar,100-500,Baik,Sangat Memuaskan
2016,Laki-laki,TI,SMKN,Teknik,Tinggi,Tinggi,100-500,Cukup,Sangat Memuaskan
2016,Laki-laki,TI,SMKN,Teknik,Menengah,Menengah,1.000-2.000,Kurang,Memuaskan
2016,Laki-laki,TI,SMAN,IPA,Dasar,Dasar,500-1.000,Kurang,Sangat Memuaskan
2016,Perempuan,TI,SMAN,IPA,Tinggi,Tinggi,1.000-2.000,Baik,Sangat Memuaskan
