jenis_kelamin,prodi,smta,jurusan,ayah,ibu,pendapatan,UN,IPK
Laki-laki,Peternakan,SMAN,IPA,TINGGI,MENENGAH,2.000-5.000,Baik,Sangat Memuaskan
Perempuan,Peternakan,SMAN,IPA,MENENGAH,TINGGI,2.000-5.000,Sangat Baik,Cumlaude
Perempuan,Peternakan,SMAN,IPA,MENENGAH,TINGGI,2.000-5.000,Sangat Baik,Cumlaude
Laki-laki,Peternakan,MAS,IPA,MENENGAH,DASAR,100-500,Cukup,Cumlaude
Laki-laki,Peternakan,SMAN,IPS,DASAR,DASAR,100-500,Baik,Cumlaude
Laki-laki,Peternakan,SMAN,IPS,DASAR,DASAR,500-1.000,Baik,Sangat Memuaskan
Laki-laki,Peternakan,SMAN,IPA,DASAR,DASAR,1.000-2.000,Baik,Cumlaude
Perempuan,Peternakan,SMAN,IPA,MENENGAH,TINGGI,2.000-5.000,Sangat Baik,Cumlaude
Laki-laki,Arsitektur,SMAN,IPA,TINGGI,TINGGI,1.000-2.000,Cukup,Memuaskan
Laki-laki,Arsitektur,SMAN,IPA,MENENGAH,MENENGAH,500-1.000,Kurang,Sangat Memuaskan
Perempuan,Arsitektur,SMAN,IPA,MENENGAH,DASAR,1.000-2.000,Kurang,Memuaskan
Laki-laki,Arsitektur,MAN,IPA,TINGGI,MENENGAH,1.000-2.000,Sangat Baik,Sangat Memuaskan
Laki-laki,Arsitektur,SMAN,IPA,DASAR,DASAR,100-500,Kurang,Sangat Memuaskan
Perempuan,Arsitektur,SMAN,IPA,TINGGI,TINGGI,5.000-20.000,Baik,Sangat Memuaskan
Laki-laki,Arsitektur,SMAN,IPA,TINGGI,TINGGI,1.000-2.000,Baik,Memuaskan
Perempuan,Arsitektur,SMAN,IPA,TINGGI,TINGGI,2.000-5.000,Baik,Sangat Memuaskan
Laki-laki,Arsitektur,SMAN,IPA,TINGGI,TINGGI,5.000-20.000,Baik,Sangat Memuaskan
Laki-laki,Arsitektur,SMAN,IPA,TINGGI,DASAR,2.000-5.000,Baik,Sangat Memuaskan
Perempuan,Arsitektur,SMAN,IPA,TINGGI,MENENGAH,2.000-5.000,Baik,Sangat Memuaskan
Laki-laki,Arsitektur,SMKN,TEKNIK,TINGGI,TINGGI,2.000-5.000,Baik,Sangat Memuaskan
Perempuan,Arsitektur,SMAN,IPA,TINGGI,MENENGAH,2.000-5.000,Baik,Sangat Memuaskan
Perempuan,Arsitektur,SMAS,IPS,DASAR,MENENGAH,500-1.000,Baik,Sangat Memuaskan
Perempuan,Arsitektur,SMAN,IPA,TINGGI,MENENGAH,1.000-2.000,Kurang,Sangat Memuaskan
Laki-laki,TI,SMAS,IPS,TINGGI,TINGGI,5.000-20.000,Sangat Baik,Cukup
Laki-laki,TI,MAS,IPA,DASAR,DASAR,500-1.000,Kurang,Memuaskan
Laki-laki,TI,SMAN,IPA,MENENGAH,TINGGI,1.000-2.000,Kurang,Sangat Memuaskan
